shops,ratings,userids
hustle-co-singapore,5.0,532
hustle-co-singapore,5.0,1397
hustle-co-singapore,5.0,80
hustle-co-singapore,5.0,2073
hustle-co-singapore,5.0,2043
benjamin-barker-cafe-singapore,4.0,2141
benjamin-barker-cafe-singapore,4.0,2043
the-coffee-roaster-singapore-2,3.0,2097
the-coffee-roaster-singapore-2,3.0,2043
koi-cafe-singapore,5.0,610
koi-cafe-singapore,5.0,2043
starbucks-singapore-21,4.0,50
starbucks-singapore-21,4.0,1254
starbucks-singapore-21,4.0,651
starbucks-singapore-21,4.0,2181
starbucks-singapore-21,4.0,26
starbucks-singapore-21,4.0,2043
eaglewings-loft-singapore,4.0,1559
eaglewings-loft-singapore,4.0,91
eaglewings-loft-singapore,4.0,2043
killiney-kopitiam-singapore-11,5.0,573
killiney-kopitiam-singapore-11,5.0,1435
killiney-kopitiam-singapore-11,5.0,1571
killiney-kopitiam-singapore-11,5.0,1214
killiney-kopitiam-singapore-11,5.0,1269
killiney-kopitiam-singapore-11,5.0,2043
creamier-handcrafted-ice-cream-and-coffee-singapore-2,5.0,1469
creamier-handcrafted-ice-cream-and-coffee-singapore-2,5.0,988
creamier-handcrafted-ice-cream-and-coffee-singapore-2,5.0,1791
creamier-handcrafted-ice-cream-and-coffee-singapore-2,5.0,306
creamier-handcrafted-ice-cream-and-coffee-singapore-2,5.0,1178
creamier-handcrafted-ice-cream-and-coffee-singapore-2,5.0,1998
creamier-handcrafted-ice-cream-and-coffee-singapore-2,5.0,2043
platform-1094-singapore,5.0,22
platform-1094-singapore,5.0,852
platform-1094-singapore,5.0,859
platform-1094-singapore,5.0,1307
platform-1094-singapore,5.0,1750
platform-1094-singapore,5.0,2478
platform-1094-singapore,5.0,1198
platform-1094-singapore,5.0,1667
platform-1094-singapore,5.0,1872
platform-1094-singapore,5.0,1722
platform-1094-singapore,5.0,1805
platform-1094-singapore,5.0,70
platform-1094-singapore,5.0,2054
platform-1094-singapore,5.0,2043
nanyang-old-coffee-singapore-7,3.0,2331
nanyang-old-coffee-singapore-7,3.0,2043
tai-cheong-bakery-singapore-2,5.0,61
tai-cheong-bakery-singapore-2,5.0,1268
tai-cheong-bakery-singapore-2,5.0,306
tai-cheong-bakery-singapore-2,5.0,2043
hoshino-coffee-singapore-2,4.0,18
hoshino-coffee-singapore-2,4.0,2166
hoshino-coffee-singapore-2,4.0,2043
arteastiq-singapore-3,4.0,2068
arteastiq-singapore-3,4.0,1525
arteastiq-singapore-3,4.0,1396
arteastiq-singapore-3,4.0,1728
arteastiq-singapore-3,4.0,2043
hollin-singapore,5.0,1469
hollin-singapore,5.0,2043
black-fairy-coffee-singapore,4.0,1222
black-fairy-coffee-singapore,4.0,2043
fabcafe-singapore,4.0,337
fabcafe-singapore,4.0,2043
ten-cafe-singapore,4.0,1292
ten-cafe-singapore,4.0,2043
olivia-and-co-singapore-2,4.0,704
olivia-and-co-singapore-2,4.0,1592
olivia-and-co-singapore-2,4.0,1484
olivia-and-co-singapore-2,4.0,2043
ibake-singapore,3.0,162
ibake-singapore,3.0,2043
40-hands-singapore,4.0,2068
40-hands-singapore,4.0,18
40-hands-singapore,4.0,1791
40-hands-singapore,4.0,2544
40-hands-singapore,4.0,665
40-hands-singapore,4.0,1868
40-hands-singapore,4.0,168
40-hands-singapore,4.0,297
40-hands-singapore,4.0,338
40-hands-singapore,4.0,27
40-hands-singapore,4.0,2284
40-hands-singapore,4.0,1213
40-hands-singapore,4.0,1762
40-hands-singapore,4.0,1544
40-hands-singapore,4.0,2237
40-hands-singapore,4.0,752
40-hands-singapore,4.0,1667
40-hands-singapore,4.0,1733
40-hands-singapore,4.0,450
40-hands-singapore,4.0,2548
40-hands-singapore,4.0,2044
40-hands-singapore,4.0,2055
40-hands-singapore,4.0,2061
40-hands-singapore,4.0,1274
40-hands-singapore,4.0,2308
40-hands-singapore,4.0,2115
40-hands-singapore,4.0,1375
40-hands-singapore,4.0,1553
40-hands-singapore,4.0,492
40-hands-singapore,4.0,376
40-hands-singapore,4.0,2004
40-hands-singapore,4.0,710
40-hands-singapore,4.0,1776
40-hands-singapore,4.0,1445
40-hands-singapore,4.0,57
40-hands-singapore,4.0,1448
40-hands-singapore,4.0,2271
40-hands-singapore,4.0,207
40-hands-singapore,4.0,880
40-hands-singapore,4.0,1393
40-hands-singapore,4.0,1443
40-hands-singapore,4.0,1902
40-hands-singapore,4.0,693
40-hands-singapore,4.0,488
40-hands-singapore,4.0,1880
40-hands-singapore,4.0,209
40-hands-singapore,4.0,174
40-hands-singapore,4.0,2253
40-hands-singapore,4.0,2142
40-hands-singapore,4.0,2157
40-hands-singapore,4.0,1777
40-hands-singapore,4.0,1838
40-hands-singapore,4.0,2043
duke-bakery-singapore,4.0,115
duke-bakery-singapore,4.0,820
duke-bakery-singapore,4.0,1343
duke-bakery-singapore,4.0,2043
toast-box-esplanade-singapore,4.0,526
toast-box-esplanade-singapore,4.0,1696
toast-box-esplanade-singapore,4.0,2043
ping-kee-popiah-singapore,5.0,990
ping-kee-popiah-singapore,5.0,2043
common-man-stan-singapore,5.0,2479
common-man-stan-singapore,5.0,306
common-man-stan-singapore,5.0,1397
common-man-stan-singapore,5.0,665
common-man-stan-singapore,5.0,1057
common-man-stan-singapore,5.0,2274
common-man-stan-singapore,5.0,2043
s-city-cafe-singapore,4.0,2002
s-city-cafe-singapore,4.0,2043
old-town-white-coffee-singapore-15,1.0,2007
old-town-white-coffee-singapore-15,1.0,2043
mellower-coffee-singapore-3,5.0,321
mellower-coffee-singapore-3,5.0,2043
reload-singapore,5.0,2340
reload-singapore,5.0,2043
trung-nguyen-cafe-downtown-core,4.0,770
trung-nguyen-cafe-downtown-core,4.0,2035
trung-nguyen-cafe-downtown-core,4.0,1659
trung-nguyen-cafe-downtown-core,4.0,2315
trung-nguyen-cafe-downtown-core,4.0,531
trung-nguyen-cafe-downtown-core,4.0,388
trung-nguyen-cafe-downtown-core,4.0,2043
toms-palette-singapore,5.0,1542
toms-palette-singapore,5.0,1692
toms-palette-singapore,5.0,1408
toms-palette-singapore,5.0,1996
toms-palette-singapore,5.0,1298
toms-palette-singapore,5.0,461
toms-palette-singapore,5.0,1227
toms-palette-singapore,5.0,1396
toms-palette-singapore,5.0,1266
toms-palette-singapore,5.0,1844
toms-palette-singapore,5.0,1123
toms-palette-singapore,5.0,115
toms-palette-singapore,5.0,1051
toms-palette-singapore,5.0,2163
toms-palette-singapore,5.0,27
toms-palette-singapore,5.0,2097
toms-palette-singapore,5.0,2445
toms-palette-singapore,5.0,1979
toms-palette-singapore,5.0,259
toms-palette-singapore,5.0,1293
toms-palette-singapore,5.0,809
toms-palette-singapore,5.0,128
toms-palette-singapore,5.0,1296
toms-palette-singapore,5.0,671
toms-palette-singapore,5.0,2326
toms-palette-singapore,5.0,2489
toms-palette-singapore,5.0,676
toms-palette-singapore,5.0,1902
toms-palette-singapore,5.0,898
toms-palette-singapore,5.0,1882
toms-palette-singapore,5.0,1274
toms-palette-singapore,5.0,2340
toms-palette-singapore,5.0,1517
toms-palette-singapore,5.0,5
toms-palette-singapore,5.0,185
toms-palette-singapore,5.0,376
toms-palette-singapore,5.0,1368
toms-palette-singapore,5.0,57
toms-palette-singapore,5.0,2043
long-black-cafe-singapore,4.0,675
long-black-cafe-singapore,4.0,789
long-black-cafe-singapore,4.0,2445
long-black-cafe-singapore,4.0,201
long-black-cafe-singapore,4.0,116
long-black-cafe-singapore,4.0,2529
long-black-cafe-singapore,4.0,2043
fun-toast-singapore-10,5.0,241
fun-toast-singapore-10,5.0,2043
bakerzin-united-square-singapore,4.0,355
bakerzin-united-square-singapore,4.0,2043
the-tiny-roaster-120106,5.0,27
the-tiny-roaster-120106,5.0,2237
the-tiny-roaster-120106,5.0,843
the-tiny-roaster-120106,5.0,752
the-tiny-roaster-120106,5.0,614
the-tiny-roaster-120106,5.0,2043
brew-maison-singapore,3.0,1467
brew-maison-singapore,3.0,2043
stamping-ground-singapore,4.0,2237
stamping-ground-singapore,4.0,2043
ya-kun-kaya-toast-singapore-40,5.0,136
ya-kun-kaya-toast-singapore-40,5.0,1315
ya-kun-kaya-toast-singapore-40,5.0,1661
ya-kun-kaya-toast-singapore-40,5.0,315
ya-kun-kaya-toast-singapore-40,5.0,2043
吃-western-singapore,4.0,2262
吃-western-singapore,4.0,2043
boyles-coffee-x-cold-brew-bar-singapore,5.0,880
boyles-coffee-x-cold-brew-bar-singapore,5.0,2043
cedele-singapore-9,3.0,987
cedele-singapore-9,3.0,2061
cedele-singapore-9,3.0,130
cedele-singapore-9,3.0,1584
cedele-singapore-9,3.0,1634
cedele-singapore-9,3.0,847
cedele-singapore-9,3.0,1103
cedele-singapore-9,3.0,2043
boufe-boutique-cafe-singapore,5.0,1722
boufe-boutique-cafe-singapore,5.0,2239
boufe-boutique-cafe-singapore,5.0,2218
boufe-boutique-cafe-singapore,5.0,2494
boufe-boutique-cafe-singapore,5.0,235
boufe-boutique-cafe-singapore,5.0,1475
boufe-boutique-cafe-singapore,5.0,1123
boufe-boutique-cafe-singapore,5.0,885
boufe-boutique-cafe-singapore,5.0,2043
the-coffee-bean-and-tea-leaf-singapore-53,4.0,9
the-coffee-bean-and-tea-leaf-singapore-53,4.0,2043
common-man-coffee-roasters-singapore,4.0,1425
common-man-coffee-roasters-singapore,4.0,1523
common-man-coffee-roasters-singapore,4.0,71
common-man-coffee-roasters-singapore,4.0,988
common-man-coffee-roasters-singapore,4.0,1960
