id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
NcgdacFqZtFllBrJQglcPQ,nylon-coffee-roasters-singapore,Nylon Coffee Roasters,https://s3-media2.fl.yelpcdn.com/bphoto/LV3F1gk5Hvi5rm2bJG30Cg/o.jpg,False,https://www.yelp.com/biz/nylon-coffee-roasters-singapore?adjust_creative=gU9u86SMGI4_86C06B3E_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU9u86SMGI4_86C06B3E_w,70,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]",4.5,"{'latitude': 1.276809987029, 'longitude': 103.83997606961}",[],$,"{'address1': '4 Everton Park', 'address2': '# 01-40', 'address3': '', 'city': 'Singapore', 'zip_code': '080004', 'country': 'SG', 'state': 'SG', 'display_address': ['4 Everton Park', '# 01-40', 'Singapore 080004', 'Singapore']}",6562202330.0,+65 6220 2330,4267.253090302004
qjF6uy-z3JsBKLPM0Uq-bQ,common-man-coffee-roasters-singapore,Common Man Coffee Roasters,https://s3-media2.fl.yelpcdn.com/bphoto/BozNK44LP8lqypolBmew2w/o.jpg,False,https://www.yelp.com/biz/common-man-coffee-roasters-singapore?adjust_creative=gU9u86SMGI4_86C06B3E_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU9u86SMGI4_86C06B3E_w,83,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]",4.0,"{'latitude': 1.29186, 'longitude': 103.83842}",[],$$,"{'address1': '22 Martin Rd', 'address2': '#01-00', 'address3': '', 'city': 'Singapore', 'zip_code': '235098', 'country': 'SG', 'state': 'SG', 'display_address': ['22 Martin Rd', '#01-00', 'Singapore 235098', 'Singapore']}",6568364695.0,+65 6836 4695,2737.905605505153
E1bWrjBJDrHUKqzu3SPt3w,tolidos-espresso-nook-singapore-3,Tolido's Espresso Nook,https://s3-media2.fl.yelpcdn.com/bphoto/cu45w5OVbBkdAEMnohMh8Q/o.jpg,False,https://www.yelp.com/biz/tolidos-espresso-nook-singapore-3?adjust_creative=gU9u86SMGI4_86C06B3E_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU9u86SMGI4_86C06B3E_w,64,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"{'latitude': 1.30453486052728, 'longitude': 103.861071132123}",[],$$,"{'address1': '462 Crawford Ln', 'address2': '#01-63', 'address3': None, 'city': 'Singapore', 'zip_code': '190462', 'country': 'SG', 'state': 'SG', 'display_address': ['462 Crawford Ln', '#01-63', 'Singapore 190462', 'Singapore']}",6566480178.0,+65 6648 0178,1717.887929850121
fZHiE60X-w7L5VyC8EU19g,brawn-and-brains-coffee-singapore,Brawn & Brains Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/mqVOpfcoFdCLhD3IffhQmQ/o.jpg,False,https://www.yelp.com/biz/brawn-and-brains-coffee-singapore?adjust_creative=gU9u86SMGI4_86C06B3E_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU9u86SMGI4_86C06B3E_w,26,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'latitude': 1.310077, 'longitude': 103.881833}",[],$$,"{'address1': '100 Guillemard Rd', 'address2': '#01-02', 'address3': '', 'city': 'Singapore', 'zip_code': '399718', 'country': 'SG', 'state': 'SG', 'display_address': ['100 Guillemard Rd', '#01-02', 'Singapore 399718', 'Singapore']}",6563480501.0,+65 6348 0501,3682.6713743071855
5hb_VHKc40jT2HSBH5QljA,the-wired-monkey-singapore-singapore,The Wired Monkey Singapore,https://s3-media3.fl.yelpcdn.com/bphoto/jm2HsRX4g_kGXDG5JTH8jg/o.jpg,False,https://www.yelp.com/biz/the-wired-monkey-singapore-singapore?adjust_creative=gU9u86SMGI4_86C06B3E_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU9u86SMGI4_86C06B3E_w,7,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",5.0,"{'latitude': 1.30432, 'longitude': 103.85409}",[],$,"{'address1': '5 Dunlop St', 'address2': None, 'address3': '', 'city': 'Singapore', 'zip_code': '209335', 'country': 'SG', 'state': 'SG', 'display_address': ['5 Dunlop St', 'Singapore 209335', 'Singapore']}",6590694569.0,+65 9069 4569,1229.714431795323
sNPYckroYFGn2VZ9lI-gFQ,glasshouse-singapore,Glasshouse,https://s3-media3.fl.yelpcdn.com/bphoto/LkrV3_WMuUrXwX5rL9Q3nw/o.jpg,False,https://www.yelp.com/biz/glasshouse-singapore?adjust_creative=gU9u86SMGI4_86C06B3E_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU9u86SMGI4_86C06B3E_w,3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"{'latitude': 1.29450802017737, 'longitude': 103.85113726683}",[],,"{'address1': '30 Victoria St', 'address2': '#01-03', 'address3': 'CHIJMES', 'city': 'Singapore', 'zip_code': '187996', 'country': 'SG', 'state': 'SG', 'display_address': ['30 Victoria St', '#01-03', 'CHIJMES', 'Singapore 187996', 'Singapore']}",6597930234.0,+65 9793 0234,2194.461182204563
toUE3ZDDsxOMiDOcdPixXg,five-oars-coffee-roasters-singapore-2,Five Oars Coffee Roasters,https://s3-media3.fl.yelpcdn.com/bphoto/7ERJ44MysrQoDG6exkdFdg/o.jpg,False,https://www.yelp.com/biz/five-oars-coffee-roasters-singapore-2?adjust_creative=gU9u86SMGI4_86C06B3E_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU9u86SMGI4_86C06B3E_w,6,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 1.27903, 'longitude': 103.84392}",[],$$,"{'address1': '39 Tanjong Pagar Rd', 'address2': '', 'address3': None, 'city': 'Singapore', 'zip_code': '088462', 'country': 'SG', 'state': 'SG', 'display_address': ['39 Tanjong Pagar Rd', 'Singapore 088462', 'Singapore']}",,,3938.3397636672826
WEjKlBpQ5VVjRBZv9hAZGg,craftsmen-specialty-coffee-singapore-4,Craftsmen Specialty Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/8FUU9GNJtHaLLnIijwAF0A/o.jpg,False,https://www.yelp.com/biz/craftsmen-specialty-coffee-singapore-4?adjust_creative=gU9u86SMGI4_86C06B3E_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU9u86SMGI4_86C06B3E_w,3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",5.0,"{'latitude': 1.28864617083288, 'longitude': 103.846577815711}",[],,"{'address1': '6 Eu Tong Sen St', 'address2': '#01-58/59', 'address3': None, 'city': 'Singapore', 'zip_code': '059817', 'country': 'SG', 'state': 'SG', 'display_address': ['6 Eu Tong Sen St', '#01-58/59', 'Singapore 059817', 'Singapore']}",6596580769.0,+65 9658 0769,2845.077593218723
APd3stuYjcbW-7vqmxoXsQ,tiong-hoe-specialty-coffee-singapore-3,Tiong Hoe Specialty Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/1sSSWGjytNu42GPa_aCgOA/o.jpg,False,https://www.yelp.com/biz/tiong-hoe-specialty-coffee-singapore-3?adjust_creative=gU9u86SMGI4_86C06B3E_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU9u86SMGI4_86C06B3E_w,8,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'wholesalers', 'title': 'Wholesalers'}]",5.0,"{'latitude': 1.29092, 'longitude': 103.80308}",[],$,"{'address1': '170 Stirling Rd', 'address2': '#01-1133', 'address3': None, 'city': 'Singapore', 'zip_code': '140170', 'country': 'SG', 'state': 'SG', 'display_address': ['170 Stirling Rd', '#01-1133', 'Singapore 140170', 'Singapore']}",6564745442.0,+65 6474 5442,5709.862459996386
9oValMqK_Unb12jWlTzMMA,arabica-singapore,% Arabica,https://s3-media1.fl.yelpcdn.com/bphoto/d-3k1Wc_xDlpIpdhBn_s3Q/o.jpg,False,https://www.yelp.com/biz/arabica-singapore?adjust_creative=gU9u86SMGI4_86C06B3E_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU9u86SMGI4_86C06B3E_w,2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"{'latitude': 1.30092956262291, 'longitude': 103.859469182789}",[],,"{'address1': '50 Arab St', 'address2': '', 'address3': None, 'city': 'Singapore', 'zip_code': '199747', 'country': 'SG', 'state': 'SG', 'display_address': ['50 Arab St', 'Singapore 199747', 'Singapore']}",6562913887.0,+65 6291 3887,1875.7730781942012
